question_id,subject,gold,pred,correct,latency_ms,prompt_tokens,protocol,raw_output
32,machine_learning,A,C,0,692.1223999997892,134,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
33,abstract_algebra,C,D,0,659.8487000010209,109,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
34,high_school_computer_science,C,C,1,688.1167999999889,170,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
35,machine_learning,C,B,0,661.6307000003872,95,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
36,abstract_algebra,A,C,0,731.2283000028401,99,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
37,high_school_computer_science,C,B,0,704.0954000003694,276,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
38,machine_learning,A,C,0,440.75660000089556,118,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""C""}"
39,abstract_algebra,C,C,1,716.7611999975634,165,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
40,high_school_computer_science,B,B,1,647.589500000322,190,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
41,machine_learning,B,C,0,677.5529999977152,133,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
42,abstract_algebra,C,C,1,780.8360999988508,95,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
43,high_school_computer_science,C,C,1,775.6018999971275,134,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
44,machine_learning,B,B,1,736.0119000004488,79,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
45,abstract_algebra,B,C,0,679.8037000007753,106,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
46,high_school_computer_science,A,A,1,757.5021000011475,102,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
47,machine_learning,B,C,0,458.80440000109957,114,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""C""}"
48,abstract_algebra,C,C,1,675.2415000009933,95,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
49,high_school_computer_science,D,B,0,695.8206000017526,154,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
50,machine_learning,C,B,0,682.355799999641,146,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
51,abstract_algebra,C,D,0,730.1671999994142,110,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
52,high_school_computer_science,D,D,1,682.8606999988551,180,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
53,machine_learning,A,A,1,771.5448000017204,132,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
54,abstract_algebra,D,C,0,740.8466999986558,100,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
55,high_school_computer_science,D,D,1,733.8511000016297,216,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
56,machine_learning,A,C,0,769.1246000031242,122,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
57,abstract_algebra,A,C,0,815.924400001677,139,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
58,high_school_computer_science,A,A,1,987.9041999993206,169,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
59,machine_learning,A,C,0,917.321400000219,123,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
60,abstract_algebra,A,C,0,847.7783999987878,139,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
61,high_school_computer_science,C,B,0,681.255899999087,203,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
62,machine_learning,C,C,1,607.248599997547,135,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"":""C""}\n```"
63,abstract_algebra,A,C,0,667.0739000001049,141,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
64,high_school_computer_science,B,B,1,687.5766000011936,90,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
65,machine_learning,A,C,0,460.56289999978617,118,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""C""}"
66,abstract_algebra,D,C,0,668.1611000021803,131,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
67,high_school_computer_science,B,B,1,680.2123000015854,84,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
68,machine_learning,B,C,0,693.1808000008459,112,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
69,abstract_algebra,D,C,0,693.2976999996754,97,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
70,high_school_computer_science,C,C,1,752.7688999980455,160,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
71,machine_learning,C,C,1,779.2530000006082,139,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
72,abstract_algebra,B,C,0,687.5667999993311,113,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
73,high_school_computer_science,D,C,0,688.1165000013425,208,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
74,machine_learning,B,B,1,709.1020999978355,118,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
75,abstract_algebra,C,D,0,672.0824000003631,109,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
76,high_school_computer_science,C,A,0,657.0348999994167,167,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
77,machine_learning,A,C,0,442.78530000156024,134,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""C""}"
78,abstract_algebra,C,C,1,691.5934999997262,117,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
79,high_school_computer_science,C,C,1,682.9533999989508,137,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
80,machine_learning,B,C,0,834.7901999986789,89,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
81,abstract_algebra,B,A,0,795.4553000017768,127,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
82,high_school_computer_science,D,D,1,985.0232999997388,179,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
83,machine_learning,C,C,1,1069.2903000017395,87,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
84,abstract_algebra,D,C,0,1034.9368000024697,128,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
85,high_school_computer_science,A,C,0,1001.9026000009035,446,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
86,machine_learning,D,D,1,956.3784999991185,87,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
87,abstract_algebra,A,C,0,751.7705999998725,109,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
88,high_school_computer_science,A,A,1,554.9771000005421,82,qwen3_chat_template_nonthinking_json_answer_greedy,"{""answer"": ""A""}"
89,machine_learning,C,D,0,1015.5732000021089,111,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
90,abstract_algebra,B,C,0,803.9781000006769,128,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
91,high_school_computer_science,A,B,0,820.491000002221,145,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""B""}\n```"
92,machine_learning,C,D,0,853.3671000004688,94,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
93,abstract_algebra,B,D,0,859.0143999972497,118,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
94,high_school_computer_science,C,D,0,783.5785999996006,89,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"":""D""}\n```"
95,machine_learning,C,A,0,924.9884999990172,209,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""A""}\n```"
96,abstract_algebra,A,C,0,905.8425000002899,133,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
97,high_school_computer_science,D,C,0,827.071600000636,244,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
98,machine_learning,B,C,0,795.987999998033,148,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""C""}\n```"
99,abstract_algebra,C,D,0,791.3105000006908,136,qwen3_chat_template_nonthinking_json_answer_greedy,"```json\n{""answer"": ""D""}\n```"
